Time(ms),TactileRaw(16bit),GroundRef(16bit)
6195.00,-578,2
6200.00,-576,5
6205.00,-578,3
6210.00,-573,2
6215.00,-581,2
6220.00,-575,5
6225.00,-577,4
6230.00,-575,3
6235.00,-578,3
6240.00,-575,3
6245.00,-577,2
6250.00,-579,3
6255.00,-577,4
6260.00,-578,3
6265.00,-575,5
6270.00,-584,2
6275.00,-578,3
6280.00,-579,4
6285.00,-580,4
6290.00,-585,3
6295.00,-578,2
6300.00,-580,4
6305.00,-578,4
6310.00,-576,5
6315.00,-577,4
6320.00,-583,4
6325.00,-584,2
6330.00,-583,5
6335.00,-579,5
6340.00,-583,5
6345.00,-581,5
6350.00,-582,2
6355.00,-584,2
6360.00,-583,6
6365.00,-584,4
6370.00,-584,2
6375.00,-586,4
6380.00,-587,4
6385.00,-585,4
6390.00,-585,5
6395.00,-582,3
6400.00,-582,4
6405.00,-584,2
6410.00,-583,7
6415.00,-588,5
6420.00,-583,4
6425.00,-583,4
6430.00,-587,3
6435.00,-589,3
6440.00,-586,2
6445.00,-585,4
6450.00,-581,4
6455.00,-581,4
6460.00,-583,3
6465.00,-587,3
6470.00,-578,5
6475.00,-583,2
6480.00,-577,5
6485.00,-577,3
6490.00,-574,4
6495.00,-578,6
6500.00,-578,3
6505.00,-575,5
6510.00,-574,3
6515.00,-575,5
6520.00,-577,3
6525.00,-580,3
6530.00,-580,3
6535.00,-578,4
6540.00,-579,2
6545.00,-580,4
6550.00,-577,5
6555.00,-578,5
6560.00,-573,4
6565.00,-579,3
6570.00,-578,4
6575.00,-577,3
6580.00,-580,5
6585.00,-577,5
6590.00,-574,5
6595.00,-576,5
6600.00,-577,5
6605.00,-577,3
6610.00,-575,5
6615.00,-574,6
6620.00,-579,5
6625.00,-580,2
6630.00,-578,5
6635.00,-577,2
6640.00,-575,1
6645.00,-576,3
6650.00,-572,4
6655.00,-574,4
6660.00,-574,5
6665.00,-576,2
6670.00,-576,5
6675.00,-577,4
6680.00,-577,5
6685.00,-577,4
6690.00,-578,2
6695.00,-578,2
6700.00,-580,4
6705.00,-581,4
6710.00,-577,3
6715.00,-581,4
6720.00,-578,3
6725.00,-575,4
6730.00,-580,4
6735.00,-581,4
6740.00,-579,3
6745.00,-575,3
6750.00,-575,5
6755.00,-574,5
6760.00,-573,3
6765.00,-574,3
6770.00,-572,5
6775.00,-574,4
6780.00,-577,4
6785.00,-577,1
6790.00,-579,5
6795.00,-579,2
6800.00,-574,4
6805.00,-576,3
6810.00,-574,4
6815.00,-573,3
6820.00,-574,3
6825.00,-578,3
6830.00,-578,2
6835.00,-581,5
6840.00,-581,7
6845.00,-583,5
6850.00,-576,2
6855.00,-578,5
6860.00,-574,4
6865.00,-578,4
6870.00,-577,4
6875.00,-574,2
6880.00,-577,5
6885.00,-577,6
6890.00,-571,4
6895.00,-575,5
6900.00,-574,3
6905.00,-580,3
6910.00,-572,4
6915.00,-579,5
6920.00,-580,2
6925.00,-574,3
6930.00,-578,4
6935.00,-577,2
6940.00,-580,3
6945.00,-578,5
6950.00,-580,3
6955.00,-577,5
6960.00,-580,2
6965.00,-580,4
6970.00,-580,2
6975.00,-577,4
6980.00,-579,4
